date	Italy	France	Germany	Ukraine	
1800	7329.43383531	2868.63021587	3299.33644444	103.929761282	
1810	8427.59761976	3145.97692932	3370.84915556	137.129546136	
1820	9526.39277088	3345.48997461	3443.37066667	183.583617592	
1830	10543.8249139	3842.63206845	3624.9405	246.384639939	
1840	11739.819891	4350.0759878	3815.52033333	335.253968564	
1850	12992.9141377	4810.56408051	4015.51666667	439.216547454	
1860	14002.7224007	5241.63886176	4225.122	626.904947469	
1870	14962.0285488	5818.39798245	5435.24715997	881.43022868	
1880	16203.9941854	6580.56940892	6966.80900021	1298.37381135	
1890	17361.5289358	7345.90324615	8737.95501584	1910.09493183	
1900	18470.9246266	12135.0827083	10656.2390963	2908.15989897	
1910	19613.9061998	17538.3940628	12849.1771373	4483.94634022	
1920	19438.4129803	21229.2269905	15889.8191428	5703.13512346	
1930	21312.5714943	28362.4620129	18699.4007664	6728.94034395	
1940	21968.3691036	38041.0802707	21888.796803	8947.60711495	
1950	23104.543	46557.904	25086.277	13240.666	
1960	28262.979	51978.188	29390.134	20019.026	
1970	36075.303	56496.07	34295.06	25944.111	
1980	39535.455	57028.531	37523.169	30873.367	
1990	42094.923	58079.838	38032.297	34435.112	
2000	44793.656	59969.58	38394.497	32813.855
